anio,mes,indice_tiempo,provincia,produccion_petroleo_promedio_dia_m3
2011,12,2011-12,La Pampa,4399.35732258064
2011,12,2011-12,La Rioja,0
2011,12,2011-12,Mendoza,12516.2069354839
2011,12,2011-12,Neuquén,17600.7789354839
2011,12,2011-12,Rio Negro,6397.70835483871
2011,12,2011-12,Salta,1073.75741935484
2011,12,2011-12,San Juan,0
2011,12,2011-12,Santa Cruz,19813.3537032258
2011,12,2011-12,Tierra del Fuego,1400.63087096774
2012,1,2012-01,Chubut,25414.4837864516
2012,1,2012-01,Estado Nacional,925.722903225806
2012,1,2012-01,Formosa,245.789677419355
2012,1,2012-01,Jujuy,55.8576258064516
2012,1,2012-01,La Pampa,4370.16567741936
2012,1,2012-01,La Rioja,0
2012,1,2012-01,Mendoza,12595.7262903226
2012,1,2012-01,Neuquén,16720.9514193548
2012,1,2012-01,Rio Negro,5823.96203225806
2012,1,2012-01,Salta,1055.55890322581
2012,1,2012-01,San Juan,0
2012,1,2012-01,Santa Cruz,19708.0366193548
2012,1,2012-01,Tierra del Fuego,1507.62290322581
2012,2,2012-02,Chubut,25066.4931268966
2012,2,2012-02,Estado Nacional,779.075517241379
2012,2,2012-02,Formosa,247.137931034483
2012,2,2012-02,Jujuy,54.41
2012,2,2012-02,La Pampa,4300.15231034483
2012,2,2012-02,La Rioja,0
2012,2,2012-02,Mendoza,12867.3725862069
2012,2,2012-02,Neuquén,16948.5463448276
2012,2,2012-02,Rio Negro,6218.30562068966
2012,2,2012-02,Salta,1037.61137931034
2012,2,2012-02,San Juan,0
2012,2,2012-02,Santa Cruz,19269.0436344828
2012,2,2012-02,Tierra del Fuego,1598.82751724138
2012,3,2012-03,Chubut,25124.6007741935
2012,3,2012-03,Estado Nacional,682.581290322581
2012,3,2012-03,Formosa,271.783225806452
2012,3,2012-03,Jujuy,53.290064516129
2012,3,2012-03,La Pampa,4277.46574193548
2012,3,2012-03,La Rioja,0
2012,3,2012-03,Mendoza,12751.4010967742
2012,3,2012-03,Neuquén,16926.0458387097
2012,3,2012-03,Rio Negro,6746.22470967742
2012,3,2012-03,Salta,1015.42032258065
2012,3,2012-03,San Juan,0
2012,3,2012-03,Santa Cruz,19293.4305032258
2012,3,2012-03,Tierra del Fuego,1643.82835483871
2012,4,2012-04,Chubut,24755.8969
2012,4,2012-04,Estado Nacional,803.708666666667
2012,4,2012-04,Formosa,501.628966666667
2012,4,2012-04,Jujuy,52.7333333333333
2012,4,2012-04,La Pampa,4144.1408
2012,4,2012-04,La Rioja,0
2012,4,2012-04,Mendoza,12619.4588333333
2012,4,2012-04,Neuquén,16425.1572
2012,4,2012-04,Rio Negro,6781.52706666667
2012,4,2012-04,Salta,977.359133333333
2012,4,2012-04,Santa Cruz,19125.5940666667
2012,4,2012-04,Tierra del Fuego,1611.51626666667
2012,5,2012-05,Chubut,25214.8417419355
2012,5,2012-05,Estado Nacional,786.234516129032
2012,5,2012-05,Formosa,538.341935483871
2012,5,2012-05,Jujuy,47.696935483871
2012,5,2012-05,La Pampa,4021.55832258065
2012,5,2012-05,La Rioja,0
2012,5,2012-05,Mendoza,12450.2079032258
2012,5,2012-05,Neuquén,16995.3339354839
2012,5,2012-05,Rio Negro,6879.39561290323
2012,5,2012-05,Salta,990.117419354839
2012,5,2012-05,San Juan,0
2012,5,2012-05,Santa Cruz,18911.9901047716
2012,5,2012-05,Tierra del Fuego,1712.51667741935
2012,6,2012-06,Chubut,21205.9242
2012,6,2012-06,Estado Nacional,811.693
2012,6,2012-06,Formosa,514.962533333333
2012,6,2012-06,Jujuy,45.6103333333333
2012,6,2012-06,La Pampa,3982.9680946
2012,6,2012-06,La Rioja,0
2012,6,2012-06,Mendoza,12816.3544
2012,6,2012-06,Neuquén,16980.5899
2012,6,2012-06,Rio Negro,6961.66013333333
2012,6,2012-06,Salta,988.735066666667
2012,6,2012-06,San Juan,0
2012,6,2012-06,Santa Cruz,18517.1994333333
2012,6,2012-06,Tierra del Fuego,1667.7021
2012,7,2012-07,Chubut,22037.9232258065
2012,7,2012-07,Estado Nacional,883.100322580645
2012,7,2012-07,Formosa,504.13
2012,7,2012-07,Jujuy,48.196
2012,7,2012-07,La Pampa,4116.876216
2012,7,2012-07,Mendoza,12619.4326451613
2012,7,2012-07,Neuquén,17146.0653870968
2012,7,2012-07,Rio Negro,6934.66438709677
2012,7,2012-07,Salta,974.861935483871
2012,7,2012-07,San Juan,0
2012,7,2012-07,Santa Cruz,18342.7803548387
2012,7,2012-07,Tierra del Fuego,1663.83683870968
2012,8,2012-08,Chubut,24595.5332580645
2012,8,2012-08,Estado Nacional,921.078387096774
2012,8,2012-08,Formosa,508.133548387097
2012,8,2012-08,Jujuy,49.9150322580645
2012,8,2012-08,La Pampa,4176.52302632258
2012,8,2012-08,La Rioja,0
2012,8,2012-08,Mendoza,12892.049483871
2012,8,2012-08,Neuquén,17133.1037096774
2012,8,2012-08,Rio Negro,6983.66748387097
2012,8,2012-08,Salta,970.026129032258
2012,8,2012-08,San Juan,0
2012,8,2012-08,Santa Cruz,18828.1809677419
2012,8,2012-08,Tierra del Fuego,1645.7425483871
2012,9,2012-09,Chubut,24639.8656
2012,9,2012-09,Estado Nacional,930.320666666667
2012,9,2012-09,Formosa,475.96
2012,9,2012-09,Jujuy,46.7872
2012,9,2012-09,La Pampa,4469.8323424
2012,9,2012-09,La Rioja,0
2012,9,2012-09,Mendoza,12744.9741333333
2012,9,2012-09,Neuquén,16828.3567333333
2012,9,2012-09,Rio Negro,7038.02026666667
2012,9,2012-09,Salta,954.801333333333
2012,9,2012-09,San Juan,0
2012,9,2012-09,Santa Cruz,18984.8056666667
2012,9,2012-09,Tierra del Fuego,1561.12066666667
2012,10,2012-10,Chubut,24099.2121612903
2012,10,2012-10,Estado Nacional,892.496129032258
2012,10,2012-10,Formosa,463.987741935484
2012,10,2012-10,Jujuy,45.2758064516129
2012,10,2012-10,La Pampa,4539.02506454839
2012,10,2012-10,La Rioja,0
2012,10,2012-10,Mendoza,12590.2828709677
2012,10,2012-10,Neuquén,16622.1813870968
2012,10,2012-10,Rio Negro,6860.42464516129
2012,10,2012-10,Salta,925.30935483871
2012,10,2012-10,San Juan,0
2012,10,2012-10,Santa Cruz,19133.6756451613
2012,10,2012-10,Tierra del Fuego,1594.8964516129
2012,11,2012-11,Chubut,24023.5804333333
2012,11,2012-11,Estado Nacional,860.547
2012,11,2012-11,Formosa,456.673333333333
2012,11,2012-11,Jujuy,44.1011666666667
2012,11,2012-11,La Pampa,4292.61292151867
2012,11,2012-11,La Rioja,0
