anio,mes,indice_tiempo,empresa,produccion_petroleo_promedio_dia_m3
2009,5,2009-05,CHAÑARES ENERGIA S.A.,537.573838709677
2009,5,2009-05,CHEVRON ARGENTINA S.R.L.,7336.05483870968
2009,5,2009-05,CLEAR S.R.L.,16.0890322580645
2009,5,2009-05,COLHUE HUAPI S.A.,75.0967741935484
2009,5,2009-05,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,18.9193548387097
2009,5,2009-05,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,1793.22580645161
2009,5,2009-05,"CRI HOLDING, INC.",34.7722580645161
2009,5,2009-05,DAPETROL S.A.,76.2561290322581
2009,5,2009-05,EHRENCAP S.A.,0
2009,5,2009-05,ENAP SIPETROL ARGENTINA S.A.,1610.73516129032
2009,5,2009-05,ENARSA ENERGIA ARGENTINA S.A.,0
2009,5,2009-05,ENERGIAL S.A.,0
2009,5,2009-05,EPSUR S.A.,29.3354838709677
2009,5,2009-05,EZ HOLDINGS S.A.,0
2009,5,2009-05,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),9.88354838709677
2009,5,2009-05,GRECOIL y CIA. S.R.L.,13.0548387096774
2009,5,2009-05,INGENIERIA ALPA S.A.,27.3606451612903
2009,5,2009-05,INGENIERIA SIMA S.A.,1.1241935483871
2009,5,2009-05,INTERENERGY ARGENTINA S.A.,4.80645161290323
2009,5,2009-05,MADALENA ENERGY ARGENTINA SRL ,176.903225806452
2009,5,2009-05,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),724.993548387097
2009,5,2009-05,MEDANITO S.A.,142.383870967742
2009,5,2009-05,MISAHAR ARGENTINA S.A.,0.337096774193548
2009,5,2009-05,NECON S.A.,0
2009,5,2009-05,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",7008.34870967742
2009,5,2009-05,OIL M&S S.A.,1.71322580645161
2009,5,2009-05,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,18318.6261290323
2009,5,2009-05,PETRO ANDINA RESOURCES LTD.,4341.31903225806
2009,5,2009-05,PETROBRAS ARGENTINA S.A.,6570.7864516129
2009,5,2009-05,PETROFARO S.A.,0
2009,5,2009-05,PETROLEOS SUDAMERICANOS S.A.,263.187741935484
2009,5,2009-05,PETROLERA DEL COMAHUE S.A.,10.3622580645161
2009,5,2009-05,PETROLERA EL TREBOL S.A.,287.900387096774
2009,5,2009-05,PETROLERA ENTRE LOMAS S.A.,2127.02903225806
2009,5,2009-05,PETROLERA LF COMPANY S.R.L.,861.119677419355
2009,5,2009-05,PETROLERA PATAGONIA S.R.L.,20.0612903225806
2009,5,2009-05,PETROLERA PIEDRA DEL AGUILA S.A.,0
2009,5,2009-05,PETROLERA SAN JOSE S.R.L.,93.8254838709677
2009,5,2009-05,PETROMINERA CHUBUT S.E.,0
2009,5,2009-05,PETROQUIMICA COMODORO RIVADAVIA S.A.,1155.79032258065
2009,5,2009-05,PETRO TERRA CORPORATION,0.129032258064516
2009,5,2009-05,PLUSPETROL ENERGY S.A.,364.104838709677
2009,5,2009-05,PLUSPETROL S.A.,1890.59773964516
2009,5,2009-05,ROCH S.A.,321.33064516129
2009,5,2009-05,SAN JORGE PETROLEUM S.A.,3
2009,5,2009-05,TECPETROL S.A.,4338.50980645161
2009,5,2009-05,TOTAL AUSTRAL S.A.,2212.78983870968
2009,5,2009-05,YPF S.A.,33758.5023548387
2009,6,2009-06,ALIANZA PETROLERA ARGENTINA S.A.,0
2009,6,2009-06,APACHE ENERGIA ARGENTINA S.R.L.,1031.923
2009,6,2009-06,APACHE PETROLERA ARGENTINA S.A.,125.54
2009,6,2009-06,APCO ARGENTINA INC.,0
2009,6,2009-06,ARGENTA ENERGIA S.A.,0
2009,6,2009-06,CAPEX S.A.,151.5
2009,6,2009-06,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),200.224666666667
2009,6,2009-06,CHAÑARES ENERGIA S.A.,498.4017
2009,6,2009-06,CHEVRON ARGENTINA S.R.L.,7503.73333333333
2009,6,2009-06,CLEAR S.R.L.,14.6687666666667
2009,6,2009-06,COLHUE HUAPI S.A.,72.1666666666667
2009,6,2009-06,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,17.32
2009,6,2009-06,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,1783.86666666667
2009,6,2009-06,"CRI HOLDING, INC.",33.2133333333333
2009,6,2009-06,DAPETROL S.A.,76.0116666666667
2009,6,2009-06,EHRENCAP S.A.,0
2009,6,2009-06,ENAP SIPETROL ARGENTINA S.A.,1674.11566666667
2009,6,2009-06,ENARSA ENERGIA ARGENTINA S.A.,0
2009,6,2009-06,ENERGIAL S.A.,0
2009,6,2009-06,EPSUR S.A.,30.4326666666667
2009,6,2009-06,EZ HOLDINGS S.A.,0
2009,6,2009-06,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),9.56366666666667
2009,6,2009-06,GRECOIL y CIA. S.R.L.,20.47
2009,6,2009-06,INGENIERIA ALPA S.A.,24.0136666666667
2009,6,2009-06,INGENIERIA SIMA S.A.,1.94333333333333
2009,6,2009-06,INTERENERGY ARGENTINA S.A.,4.93333333333333
2009,6,2009-06,MADALENA ENERGY ARGENTINA SRL ,113.816666666667
2009,6,2009-06,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),689.123333333333
2009,6,2009-06,MEDANITO S.A.,131.606666666667
2009,6,2009-06,MISAHAR ARGENTINA S.A.,0
2009,6,2009-06,NECON S.A.,0
2009,6,2009-06,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",5610.93633333333
2009,6,2009-06,OIL M&S S.A.,1.567
2009,6,2009-06,PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,18436.1926666667
2009,6,2009-06,PETRO ANDINA RESOURCES LTD.,4385.95766666667
2009,6,2009-06,PETROBRAS ARGENTINA S.A.,6717.89606666667
2009,6,2009-06,PETROFARO S.A.,0
