anio,mes,indice_tiempo,empresa,produccion_gas_promedio_dia_mm3
2009,4,2009-04,ARGENTA ENERGIA S.A.,0
2009,4,2009-04,CAPEX S.A.,2011.29566666667
2009,4,2009-04,CENTRAL INTERNATIONAL CORPORATION (SUCURSAL ARGENTINA),20.5
2009,4,2009-04,CHAÑARES ENERGIA S.A.,21.3034333333333
2009,4,2009-04,CHEVRON ARGENTINA S.R.L.,2057.19633333333
2009,4,2009-04,CLEAR S.R.L.,17.4158
2009,4,2009-04,COLHUE HUAPI S.A.,16.6166666666667
2009,4,2009-04,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,41.2584666666667
2009,4,2009-04,COMPAÑÍAS ASOCIADAS PETROLERAS S.A.,68.2483333333333
2009,4,2009-04,"CRI HOLDING, INC.",1.19543333333333
2009,4,2009-04,DAPETROL S.A.,0
2009,4,2009-04,EHRENCAP S.A.,0
2009,4,2009-04,ENAP SIPETROL ARGENTINA S.A.,2069.85333333333
2009,4,2009-04,ENARSA ENERGIA ARGENTINA S.A.,0
2009,4,2009-04,ENERGIAL S.A.,0
2009,4,2009-04,EPSUR S.A.,10.5798666666667
2009,4,2009-04,EZ HOLDINGS S.A.,0
2009,4,2009-04,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),3.983
2009,4,2009-04,GRECOIL y CIA. S.R.L.,0.809333333333333
2009,4,2009-04,INGENIERIA ALPA S.A.,2.72956666666667
2009,4,2009-04,INTERENERGY ARGENTINA S.A.,0.06
2009,4,2009-04,MADALENA ENERGY ARGENTINA SRL ,11.5133333333333
2009,4,2009-04,MADALENA PETROLEUM (AMERICAS) LTD. (SUCURSAL ARGENTINA),233.0278
2009,4,2009-04,MEDANITO S.A.,289.206966666667
2009,4,2009-04,MISAHAR ARGENTINA S.A.,0.429033333333333
2009,4,2009-04,NECON S.A.,0
2009,4,2009-04,"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",2047.96367
2009,4,2009-04,OIL M&S S.A.,0
