anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2013,7,2013-07,GOLFO SAN JORGE,41419.7919677419
2013,7,2013-07,LOS BOLSONES,0
2013,7,2013-07,MALVINAS,0
2013,7,2013-07,NEUQUINA,35189.1350341361
2013,7,2013-07,NORESTE,0
2013,7,2013-07,NOROESTE,1227.97816129032
2013,8,2013-08,AUSTRAL,4008.26719354839
2013,8,2013-08,CAÑADON ASFALTO,0
2013,8,2013-08,CUYANA,4724.69135483871
2013,8,2013-08,DEL COLORADO,0
2013,8,2013-08,GOLFO SAN JORGE,41460.4499032258
2013,8,2013-08,LOS BOLSONES,0
2013,8,2013-08,MALVINAS,0
2013,8,2013-08,NEUQUINA,34805.5847709803
2013,8,2013-08,NORESTE,0
2013,8,2013-08,NOROESTE,1229.80783870968
2013,9,2013-09,AUSTRAL,3885.48413333333
2013,9,2013-09,CAÑADON ASFALTO,0
2013,9,2013-09,CUYANA,4751.99563333333
2013,9,2013-09,DEL COLORADO,0
2013,9,2013-09,GOLFO SAN JORGE,41581.0918
2013,9,2013-09,LOS BOLSONES,0
2013,9,2013-09,MALVINAS,0
2013,9,2013-09,NEUQUINA,35244.15925452
2013,9,2013-09,ÑIRIHUAU,0
2013,9,2013-09,NORESTE,0
2013,9,2013-09,NOROESTE,1287.79533333333
2013,10,2013-10,AUSTRAL,3727.55209677419
2013,10,2013-10,CAÑADON ASFALTO,0
2013,10,2013-10,CUYANA,4709.1685483871
2013,10,2013-10,DEL COLORADO,0
2013,10,2013-10,FUERA DE CUENCA,0
2013,10,2013-10,GENERAL LEVALLE,0
2013,10,2013-10,GOLFO SAN JORGE,42148.7736774194
2013,10,2013-10,LAS SALINAS,0
2013,10,2013-10,LOS BOLSONES,0
2013,10,2013-10,MALVINAS,0
2013,10,2013-10,NEUQUINA,35108.3435256519
2013,10,2013-10,ÑIRIHUAU,0
2013,10,2013-10,NORESTE,0
2013,10,2013-10,NOROESTE,1247.00496774194
2013,11,2013-11,AUSTRAL,3740.37013643333
2013,11,2013-11,CAÑADON ASFALTO,0
2013,11,2013-11,CUYANA,4723.36986666667
2013,11,2013-11,DEL COLORADO,0
2013,11,2013-11,FUERA DE CUENCA,0
2013,11,2013-11,GENERAL LEVALLE,0
2013,11,2013-11,GOLFO SAN JORGE,42015.9435333333
2013,11,2013-11,LAS SALINAS,0
2013,11,2013-11,LOS BOLSONES,0
2013,11,2013-11,MALVINAS,0
2013,11,2013-11,NEUQUINA,34640.405085751
2013,11,2013-11,ÑIRIHUAU,0
2013,11,2013-11,NORESTE,0
2013,11,2013-11,NOROESTE,1259.33383333333
2013,12,2013-12,AUSTRAL,3637.16939896774
2013,12,2013-12,CAÑADON ASFALTO,0
