anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2013,7,2013-07,NOROESTE,8648.348
2013,8,2013-08,AUSTRAL,29408.5263870968
2013,8,2013-08,CAÑADON ASFALTO,0
2013,8,2013-08,CUYANA,153.499710645161
2013,8,2013-08,DEL COLORADO,0
2013,8,2013-08,GOLFO SAN JORGE,14351.2020721912
2013,8,2013-08,LOS BOLSONES,0
2013,8,2013-08,MALVINAS,0
2013,8,2013-08,NEUQUINA,62779.0175483871
2013,8,2013-08,ÑIRIHUAU,0
2013,8,2013-08,NORESTE,0
2013,8,2013-08,NOROESTE,8578.53538709677
2013,9,2013-09,AUSTRAL,29154.6347333333
2013,9,2013-09,CAÑADON ASFALTO,0
2013,9,2013-09,CUYANA,157.892055666667
2013,9,2013-09,DEL COLORADO,0
2013,9,2013-09,GOLFO SAN JORGE,14594.212697257
2013,9,2013-09,LOS BOLSONES,0
2013,9,2013-09,MALVINAS,0
2013,9,2013-09,NEUQUINA,62816.43485
2013,9,2013-09,ÑIRIHUAU,0
2013,9,2013-09,NORESTE,0
2013,9,2013-09,NOROESTE,8658.724
2013,10,2013-10,AUSTRAL,28536.3981032258
2013,10,2013-10,CAÑADON ASFALTO,0
2013,10,2013-10,CUYANA,160.117248709677
2013,10,2013-10,DEL COLORADO,0
2013,10,2013-10,FUERA DE CUENCA,0
2013,10,2013-10,GENERAL LEVALLE,0
2013,10,2013-10,GOLFO SAN JORGE,14560.5181568514
2013,10,2013-10,LAS SALINAS,0
2013,10,2013-10,LOS BOLSONES,0
2013,10,2013-10,MALVINAS,0
2013,10,2013-10,NEUQUINA,62740.60283871
2013,10,2013-10,ÑIRIHUAU,0
2013,10,2013-10,NORESTE,0
2013,10,2013-10,NOROESTE,8577.16677419355
2013,11,2013-11,AUSTRAL,28375.7347666667
2013,11,2013-11,CAÑADON ASFALTO,0
2013,11,2013-11,CUYANA,162.682924666667
2013,11,2013-11,DEL COLORADO,0
2013,11,2013-11,FUERA DE CUENCA,0
2013,11,2013-11,GENERAL LEVALLE,0
2013,11,2013-11,GOLFO SAN JORGE,14571.3087488539
2013,11,2013-11,LAS SALINAS,0
2013,11,2013-11,LOS BOLSONES,0
2013,11,2013-11,MALVINAS,0
2013,11,2013-11,NEUQUINA,62830.5429
2013,11,2013-11,ÑIRIHUAU,0
2013,11,2013-11,NORESTE,0
2013,11,2013-11,NOROESTE,8749.41673333333
2013,12,2013-12,AUSTRAL,27996.2326774194
2013,12,2013-12,CAÑADON ASFALTO,0
2013,12,2013-12,CUYANA,158.520553225806
2013,12,2013-12,DEL COLORADO,0
2013,12,2013-12,FUERA DE CUENCA,0
2013,12,2013-12,GENERAL LEVALLE,0
2013,12,2013-12,GOLFO SAN JORGE,14422.4269244558
2013,12,2013-12,LAS SALINAS,0
2013,12,2013-12,LOS BOLSONES,0
2013,12,2013-12,MALVINAS,0
2013,12,2013-12,NEUQUINA,62267.2557096777
2013,12,2013-12,ÑIRIHUAU,0
2013,12,2013-12,NORESTE,0
2013,12,2013-12,NOROESTE,8603.32758064516
2014,1,2014-01,AUSTRAL,28553.7846032258
2014,1,2014-01,CAÑADON ASFALTO,0
2014,1,2014-01,CUYANA,148.359620322581
2014,1,2014-01,DEL COLORADO,0
2014,1,2014-01,FUERA DE CUENCA,0
2014,1,2014-01,GENERAL LEVALLE,0
2014,1,2014-01,GOLFO SAN JORGE,14258.4661717632
2014,1,2014-01,LAS SALINAS,0
2014,1,2014-01,LOS BOLSONES,0
2014,1,2014-01,MALVINAS,0
2014,1,2014-01,NEUQUINA,62739.273516129
