anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2011,11,2011-11,Rio Negro,3946.83016666667
2011,11,2011-11,Salta,12000.9054
2011,11,2011-11,San Juan,0
2011,11,2011-11,Santa Cruz,12239.1460732547
2011,11,2011-11,Tierra del Fuego,9994.98016666667
2011,12,2011-12,Chubut,10024.7651854839
2011,12,2011-12,Estado Nacional,12380.1049677419
2011,12,2011-12,Formosa,56.6974193548387
2011,12,2011-12,Jujuy,12.9941935483871
2011,12,2011-12,La Pampa,1240.82774193548
2011,12,2011-12,Mendoza,5786.44323096774
2011,12,2011-12,Neuquén,55369.1165806452
2011,12,2011-12,Rio Negro,4125.62103225806
2011,12,2011-12,Salta,11805.8480967742
2011,12,2011-12,San Juan,0
2011,12,2011-12,Santa Cruz,12413.7444822581
2011,12,2011-12,Tierra del Fuego,9935.92774193548
2012,1,2012-01,Chubut,9907.82071213095
2012,1,2012-01,Estado Nacional,12795.6187096774
2012,1,2012-01,Formosa,51.0312903225806
2012,1,2012-01,Jujuy,13.0332258064516
2012,1,2012-01,La Pampa,1235.7524516129
2012,1,2012-01,Mendoza,6071.78005322581
2012,1,2012-01,Neuquén,55820.7837741936
2012,1,2012-01,Rio Negro,4079.15296774194
2012,1,2012-01,Salta,11434.5557096774
2012,1,2012-01,San Juan,0
2012,1,2012-01,Santa Cruz,12355.4015587097
2012,1,2012-01,Tierra del Fuego,9269.68396774194
2012,2,2012-02,Chubut,9636.06076896552
2012,2,2012-02,Estado Nacional,11707.9893793103
2012,2,2012-02,Formosa,51.8348275862069
2012,2,2012-02,Jujuy,13.2344827586207
2012,2,2012-02,La Pampa,1240.21324137931
2012,2,2012-02,Mendoza,6169.78317206897
2012,2,2012-02,Neuquén,53128.7792758621
2012,2,2012-02,Rio Negro,4269.34148275862
2012,2,2012-02,Salta,11314.0134137931
2012,2,2012-02,San Juan,0
2012,2,2012-02,Santa Cruz,12263.6586341379
2012,2,2012-02,Tierra del Fuego,9730.8265862069
2012,3,2012-03,Chubut,9688.27941645161
2012,3,2012-03,Estado Nacional,11534.715516129
