periodo_str,producto,total_cuenca,total_empresa,total_provincia,diff_cuenca_vs_provincia_pct,diff_empresa_vs_provincia_pct
2025-02,gas,144802.9525749996,144802.95257499994,144802.952575,-2.813848883248656e-13,-4.019784118926651e-14
2025-03,gas,133804.44729032266,133804.44729032248,133804.44729032263,2.1751018778610234e-14,-1.0875509389305116e-13
2025-04,gas,136720.8665766666,136720.8665766667,136720.8665766666,0.0,8.514817433639847e-14
2025-05,gas,147680.44143548395,147680.441435484,147680.44143548407,-7.882920764276846e-14,-3.941460382138423e-14
2025-06,gas,159351.14292666703,159351.1429266665,159351.1429266663,4.565990227965817e-13,1.2784772638304288e-13
2025-07,gas,160761.59559193513,160761.59559193556,160761.5955919357,-3.6207441646210735e-13,-9.051860411552684e-14
2025-08,gas,158098.854535484,158098.8545354838,158098.8545354834,3.6817256573104007e-13,2.5772079601172807e-13
2025-09,gas,138645.90833333333,138645.9083333334,138647.44800000003,-0.0011104904481959808,-0.0011104904481330068
2025-10,gas,123975.3018967742,123975.30189677418,123975.30189677414,4.6951013647809457e-14,3.5213260235857094e-14
2025-11,gas,122217.0103333334,122217.01033333338,122217.57733333336,-0.00046392672178399794,-0.00046392672179590454
2025-12,gas,131745.32302258065,131745.32302258065,131679.2230225806,0.05019774455131768,0.05019774455131768
2026-01,gas,131675.45540967744,131675.45540967735,131617.46831290325,0.04405729537080245,0.04405729537073611
2026-02,gas,140131.31146428542,140131.31146428565,140028.13575,0.07368213090377665,0.07368213090394293
2026-03,gas,141833.4020645163,141833.40206451615,141065.9489354843,0.5440385400044179,0.5440385400043147
2026-04,gas,140628.62523333333,140628.62523333335,,,
2026-05,gas,156584.2342710644,156584.23427106446,,,
2026-06,gas,123537.87,123537.86999999994,,,
2009-01,petroleo,97924.59912774198,97924.59912774188,97924.59912774192,5.944130630296064e-14,-4.4580979727220486e-14
2009-02,petroleo,100044.06593453567,100044.06593453579,100044.06593453568,-1.4545505615384495e-14,1.0181853930769144e-13
2009-03,petroleo,99329.52038367742,99329.52038367737,99329.52038367742,0.0,-4.395042432146325e-14
2009-04,petroleo,98880.38592519997,98880.38592520008,98880.3859252001,-1.3245016777581578e-13,-1.4716685308423977e-14
2009-05,petroleo,98151.99912674197,98151.99912674195,98151.99912674195,1.4825897951987936e-14,0.0
2009-06,petroleo,95703.79507319997,95703.79507320002,95703.7950731999,7.602580032085817e-14,1.2164128051337308e-13
2009-07,petroleo,95772.27568158064,95772.27568158062,95772.27568158064,0.0,-1.5194287829964914e-14
2009-08,petroleo,84180.76345300004,84180.763453,84180.763453,3.4573017947245183e-14,0.0
2009-09,petroleo,96031.98596956664,96031.98596956662,96031.98596956665,-1.5153196178800757e-14,-3.0306392357601514e-14
2009-10,petroleo,97586.82080251609,97586.82080251607,97586.82080251614,-5.964705114357676e-14,-7.455881392947095e-14
2009-11,petroleo,94307.05947126668,94307.05947126659,94307.05947126662,6.172142492811163e-14,-3.0860712464055813e-14
2009-12,petroleo,94250.93734629037,94250.93734629037,94250.93734629027,1.0807681012689399e-13,1.0807681012689399e-13
2010-01,petroleo,95733.8399829262,95733.83998292612,95733.83998292615,6.080155243312979e-14,-3.0400776216564893e-14
2010-02,petroleo,95643.5750814543,95643.57508145427,95643.57508145446,-1.6736207045346383e-13,-1.9779153780863903e-13
2010-03,petroleo,95914.94729953511,95914.9472995352,95914.9472995352,-9.103011973465811e-14,0.0
2010-04,petroleo,95793.2162486579,95793.2162486579,95793.21624865795,-4.5572898995039394e-14,-4.5572898995039394e-14
2010-05,petroleo,95436.47062837773,95436.4706283777,95436.47062837787,-1.3722975733802836e-13,-1.6772525896870134e-13
2010-06,petroleo,95919.54170124707,95919.541701247,95919.54170124707,0.0,-7.585479960741752e-14
2010-07,petroleo,95428.47558065997,95428.47558066003,95428.47558066013,-1.6773931107883687e-13,-1.0674319795925983e-13
2010-08,petroleo,95565.17695701253,95565.17695701245,95565.17695701252,1.522721528042861e-14,-7.613607640214305e-14
2010-09,petroleo,94056.01110719061,94056.01110719067,94056.01110719063,-1.5471541964269362e-14,4.641462589280809e-14
2010-10,petroleo,93009.63510439843,93009.6351043984,93009.6351043985,-7.82279987016027e-14,-1.0951919818224377e-13
2010-11,petroleo,93093.06919084773,93093.06919084777,93093.0691908477,3.126315493698966e-14,7.815788734247414e-14
2010-12,petroleo,79084.44248155387,79084.44248155391,79084.44248155382,5.520143319627386e-14,1.1040286639254772e-13
2011-01,petroleo,91891.51013525327,91891.51013525328,91891.51013525321,6.334389415060516e-14,7.917986768825645e-14
2011-02,petroleo,92444.84086298724,92444.84086298724,92444.84086298717,7.870593476348938e-14,7.870593476348938e-14
2011-03,petroleo,91880.09090003543,91880.0909000354,91880.09090003534,9.502765018506041e-14,6.335176679004027e-14
2011-04,petroleo,76677.13768579933,76677.13768579927,76677.13768579933,0.0,-7.591266793497889e-14
2011-05,petroleo,80336.36812154841,80336.36812154835,80336.36812154845,-5.4341199018419243e-14,-1.2679613104297822e-13
2011-06,petroleo,81528.59208753667,81528.5920875366,81528.5920875367,-3.56976978401456e-14,-1.2494194244050958e-13
2011-07,petroleo,85724.25975279369,85724.25975279357,85724.25975279359,1.1882681389412458e-13,-1.6975259127732082e-14
2011-08,petroleo,90540.18015903229,90540.18015903227,90540.18015903216,1.4465095698424736e-13,1.285786284304421e-13
2011-09,petroleo,91194.84075733337,91194.84075733331,91194.84075733343,-6.382780037782635e-14,-1.276556007556527e-13
2011-10,petroleo,91832.2348251613,91832.23482516121,91832.23482516133,-3.1692390490272023e-14,-1.267695619610881e-13
2011-11,petroleo,91488.6172593334,91488.6172593334,91488.61725933333,7.95285559247116e-14,7.95285559247116e-14
2011-12,petroleo,90400.05512129032,90400.05512129035,90400.0551212904,-8.048620771769687e-14,-4.829172463061813e-14
2012-01,petroleo,88423.87783806454,88423.87783806454,88423.87783806445,9.874198407142863e-14,9.874198407142863e-14
